model_number;datetime;elapsed_time;acc
0;2023-02-07_22-19-24;1956.3415529727936;97.89783954620361
1;2023-02-07_22-19-24;1858.391044139862;97.93713092803955
2;2023-02-07_22-19-24;1000.6057848930359;97.8389024734497
3;2023-02-07_22-19-24;766.9396197795868;97.76031374931335
4;2023-02-07_22-19-24;785.9034295082092;97.99606800079346
