iteration;datetime;elapsed_time;acc
1;2023-03-01_18-37-18;1210.4085068702698;85.46169400215149
2;2023-03-01_18-57-32;1357.9322707653046;84.55796241760254
3;2023-03-01_19-20-13;1430.6444261074066;85.59921979904175
4;2023-03-01_19-44-08;1399.5240948200226;84.28291082382202
5;2023-03-01_20-07-31;1353.9480319023132;84.24361944198608
6;2023-03-01_20-30-08;1384.666708946228;84.91159677505493
7;2023-03-01_20-53-16;1393.8218488693237;85.99214553833008
8;2023-03-01_21-16-33;1361.6511359214783;85.22593379020691
9;2023-03-01_21-39-18;1422.015900850296;85.44204831123352
10;2023-03-01_22-03-04;1386.218335866928;84.32220220565796
iteration;datetime;elapsed_time;acc
1;2023-03-19_19-54-59;6111.247538089752;91.846764087677
