iteration;datetime;elapsed_time;acc
1;2023-03-19_15-56-24;1378.200620174408;80.0000011920929
iteration;datetime;elapsed_time;acc
2;2023-03-19_16-19-26;1704.0192518234253;76.32613182067871
iteration;datetime;elapsed_time;acc
3;2023-03-19_16-47-54;1397.3370130062103;80.0000011920929
iteration;datetime;elapsed_time;acc
4;2023-03-19_17-11-15;1437.1307849884033;80.2161157131195
iteration;datetime;elapsed_time;acc
5;2023-03-19_17-35-15;1338.183678150177;78.09430360794067
iteration;datetime;elapsed_time;acc
6;2023-03-19_17-57-37;1368.3158202171326;82.04322457313538
iteration;datetime;elapsed_time;acc
7;2023-03-19_18-20-29;1398.3568420410156;78.72298955917358
iteration;datetime;elapsed_time;acc
8;2023-03-19_18-43-50;1378.7822089195251;81.11984729766846
iteration;datetime;elapsed_time;acc
9;2023-03-19_19-06-53;1424.2548899650574;80.45186996459961
iteration;datetime;elapsed_time;acc
10;2023-03-19_19-30-40;1350.783893108368;83.63457918167114
iteration;datetime;elapsed_time;acc
1;2023-03-19_23-06-01;6454.079206943512;89.31238055229187
